set	topic	title	good	bad	doc1	doc1keys1	doc1keys2	doc1keys	doc2	doc2keys1	doc2keys2	doc2keys	doc3	doc3keys1	doc3keys2	doc3keys	doc4	doc4keys1	doc4keys2	doc4keys	doc5	doc5keys1	doc5keys2	doc5keys
453	20916	"the Doughton Park."	"pages with the location of the park, history, pictures, etc."	"pages that simply mention the park but do not provide details."	clueweb09-en0003-10-30030	"cabins, falls, tennessee, hiking, park"	"57, takes, restore, hold, announces"	1	clueweb09-en0003-14-05508	"4579, updated, pictures, cherokee, 4586"	"crafts, parkway, center, trail, mp"	2	clueweb09-en0003-46-30359	"volleyball, vball, group, meetup, pm"	"register, hiring, belong, planet, touch"	1	clueweb09-en0003-58-27330	"canadian, travel, beach, national, park"	"reserved, topics, user, news, igoogle"	1	clueweb09-en0003-61-15347	"respect, officielle, prive, appartiennent, web"	"dinnerware, les, objets, la, boutique"	2
454	20916	"the Doughton Park."	"pages with the location of the park, history, pictures, etc."	"pages that simply mention the park but do not provide details."	clueweb09-en0003-63-31889	"19551957, 2253625, 2252610, privacy, 20515"	"committee, click, chairmens, house, form"	2	clueweb09-en0003-77-27047	"trips, gallery, 2007, backpacking, images"	"privacy, statement, 9201, blvd, january"	1	clueweb09-en0004-51-27957	"day, miles, tour, will, dinner"	"grandfather, express, official, cost, adventures"	1	clueweb09-en0004-59-39483	"ridge, farm, student, country, parks"	"report, advertising, creature, inns, roads"	1	clueweb09-en0004-90-32926	"elementary, creek, piney, park, trailhead"	"copyright, recreation, west, north, lookout"	1
455	20916	"the Doughton Park."	"pages with the location of the park, history, pictures, etc."	"pages that simply mention the park but do not provide details."	clueweb09-en0005-59-22671	"area, miles, trail, north, creek"	"men, scott, catawba, revolutionary, development"	1	clueweb09-en0005-66-37201	"catawba, city, 2009, area, high"	"351, mitchell, rock, wilkesboro, blowing"	1	clueweb09-en0005-84-28397	"find, overview, discuss, flag, start"	"meetup, menlo, speaking, park, group"	2	clueweb09-en0006-64-14256	"wikipedia, news, bill, shared, account"	"mp, park, view, overlook, parkway"	2	clueweb09-en0006-75-30074	"policy, judi, restaurants, february, 4141"	"previous, site, distance, time, miles"	2
456	20916	"the Doughton Park."	"pages with the location of the park, history, pictures, etc."	"pages that simply mention the park but do not provide details."	clueweb09-en0007-23-35440	"camppark, snowy, royal, olde, reservoir"	"colorado, regional, park, springs, garden"	2	clueweb09-en0007-59-30640	"forums, amblin, design, studios, entertainment"	"jurassic, jp, legacy, studios, park"	2	clueweb09-en0008-05-34744	"hotel, contact, references, advertise, submissions"	"islands, link, parks, amusement, ocean"	2	clueweb09-en0008-05-34747	"mission, budget, bios, center, zimbabwe"	"ocean, comment, amusement, parks, islands"	2	clueweb09-en0008-05-34748	"parks, islands, comment, ocean, amusement"	"permission, required, hotel, zimbabwe, free"	1
457	20916	"the Doughton Park."	"pages with the location of the park, history, pictures, etc."	"pages that simply mention the park but do not provide details."	clueweb09-en0008-05-34749	"amusement, submit, parks, british, islands"	"advertise, references, login, permission, help"	1	clueweb09-en0008-18-04541	"highcountryhostcom, navigation, 1700, blowing, links"	"sections, north, ridge, blue, parkway"	2	clueweb09-en0008-18-04543	"sections, north, parkway, ridge, blue"	"additional, fax, email, 1700, left"	1	clueweb09-en0008-18-04604	"ranch, park, locations, amenities, picnic"	"court, updated, questions, metro, gleneagles"	1	clueweb09-en0008-39-19016	"zane, pools, recreation, club, rising"	"park, city, link, maps, alley"	2
458	20916	"the Doughton Park."	"pages with the location of the park, history, pictures, etc."	"pages that simply mention the park but do not provide details."	clueweb09-en0009-15-10938	"davis, wrath, chester, policy, dead"	"linkin, lyric, park, song, album"	2	clueweb09-en0009-15-25918	"wife, signed, ack, 1876, proved"	"lm, royal, jmd, 3381, 121"	1	clueweb09-en0009-31-18307	"update, 19982006, contributors, logo, payne"	"alleghany, river, north, county, carolina"	2	clueweb09-en0009-35-21168	"va, exhibit, mile, roadside, parkway"	"brutal, 465, 330, 380, 473"	1	clueweb09-en0010-02-13074	"ancestry, operated, click, janie, tour"	"doughton, caudill, blue, ridge, parkway"	2
459	20916	"the Doughton Park."	"pages with the location of the park, history, pictures, etc."	"pages that simply mention the park but do not provide details."	clueweb09-en0010-27-20319	"4582, waterrock, team, intersects, 4512"	"blue, ridge, north, parkway, trail"	2	clueweb09-en0010-34-10073	"park, de, parkdieskau, net, services"	"medicine, holiday, independent, health, hospital"	1	clueweb09-en0010-34-38581	"numerous, nice, victim, night, impailer"	"lyrics, park, song, artist, search"	2	clueweb09-en0010-56-03402	"montucky, lee, gnarkill, zealand, vining"	"climbing, tagged, ice, rock, hukawai"	2	clueweb09-en0010-78-32601	"park, county, beach, santa, living"	"12, recreation, area, falls, oak"	1
460	20916	"the Doughton Park."	"pages with the location of the park, history, pictures, etc."	"pages that simply mention the park but do not provide details."	clueweb09-en0011-56-18383	"gallery, phoenix, korea, photo, park"	"image, korea, pbase, south, gallery"	1	clueweb09-en0011-87-23954	"queensland, gabon, banff, mall, lithuania"	"parks, australia, lists, national, hong"	2	clueweb09-en0012-24-39003	"mountains, blue, county, river, alleghany"	"deer, courts, 2000, diverse, boundaries"	1	clueweb09-en0012-29-12886	"compared, shore, 32, michael, battleground"	"trail, parking, hike, road, mi"	2	clueweb09-en0017-15-00754	"flag, blog, hq, respective, sign"	"group, meetup, jan, pm, will"	2
461	20916	"the Doughton Park."	"pages with the location of the park, history, pictures, etc."	"pages that simply mention the park but do not provide details."	clueweb09-en0018-11-07383	"blog, 2009, flag, deutsch, portuguˆs"	"marine, pm, meetup, 2008, running"	2	clueweb09-en0022-90-44853	"trail, park, doughton, hiking, milepost"	"activity, details, center, copyright, camping"	1	clueweb09-en0023-78-03591	"river, view, blue, ridge, county"	"photos, 28754, webmaster, photosharganonline, 2006"	1	clueweb09-en0023-78-03602	"jim, photosharganonline, mavenharganonline, stories, email"	"blue, ridge, county, parkway, nc"	2	clueweb09-en0025-01-02699	"articles, glaciers, climbing, photos, tagged"	"privacy, canada, skydiving, terms, vining"	1
462	20916	"the Doughton Park."	"pages with the location of the park, history, pictures, etc."	"pages that simply mention the park but do not provide details."	clueweb09-en0025-01-02718	"rock, climbing, tagged, mashhad, photos"	"rights, tim, namemedia, dry, contact"	1	clueweb09-en0025-09-18268	"bluffs, doughton, park, trail, guides"	"associates, mama, chemo, 2002, lenz"	1	clueweb09-en0025-09-18271	"foundation, frozen, readercontributed, dermatology, associates"	"mountain, north, trail, book, area"	2	clueweb09-en0026-41-26387	"park, ridge, blue, falls, mountains"	"faq, weekends, post, car, 15"	1	clueweb09-en0027-37-24871	"rental, contact, 20002009, send, print"	"ridge, parkway, miles, trail, park"	2
463	20916	"the Doughton Park."	"pages with the location of the park, history, pictures, etc."	"pages that simply mention the park but do not provide details."	clueweb09-en0030-24-20405	"write, dick, fast, moderat, leave"	"nc, trails, parkway, park, doughton"	2	clueweb09-en0030-24-20406	"write, email, art, mayer, daughtersjohn"	"nc, park, parkway, ridge, doughton"	2	clueweb09-en0031-12-08448	"hiking, rsvp, park, group, meetup"	"flag, italiano, hiring, espa¤, trademarks"	1	clueweb09-en0031-23-33546	"miles, contact, outings, hike, trail"	"cluband, policy, attending, researched, navigation"	1	clueweb09-en0034-37-30283	"doughton, park, parkway, blue, ridge"	"241, htm, yearround, contact, subject"	1
464	20916	"the Doughton Park."	"pages with the location of the park, history, pictures, etc."	"pages that simply mention the park but do not provide details."	clueweb09-en0034-70-35976	"park, birds, blue, doughton, trails"	"fireside, programs, months, staff, restore"	1	clueweb09-en0038-63-31149	"55, 3164, 3257, rugged, 3540"	"road, gap, ele, mile, parking"	2	clueweb09-en0038-63-31150	"overlook, trail, ele, parking, gap"	"1457, backbone, va642, devils, elev2889"	1	clueweb09-en0039-52-13412	"zealand, jumping, nz, alaska, privacy"	"ames, tagged, articles, climbing, ice"	2	clueweb09-en0039-52-13457	"montucky, contact, base, namemedia, 2008"	"drscorpio, articles, classifieds, tagged, climbing"	2
465	20916	"the Doughton Park."	"pages with the location of the park, history, pictures, etc."	"pages that simply mention the park but do not provide details."	clueweb09-en0039-52-13483	"montana, base, montucky, canada, zealand"	"climbing, photos, tagged, ice, indoor"	2	clueweb09-en0047-21-27032	"backpacking, doughton, park, charlotte, s07"	"statement, 6872000, 49er, 282230001, wall"	1	clueweb09-en0047-23-10695	"december, revised, lenz, 2002, atlanta"	"mountain, trail, carolina, north, area"	2	clueweb09-en0058-99-20671	"courts, began, hiking, outdoor, folks"	"river, county, doughton, ridge, alleghany"	2	clueweb09-en0061-88-04657	"book, area, falls, mountain, trail"	"dermatology, 2000, pizza, directive, chemo"	1
466	20916	"the Doughton Park."	"pages with the location of the park, history, pictures, etc."	"pages that simply mention the park but do not provide details."	clueweb09-en0062-35-35183	"print, bluffs, shop, coffee, photographic"	"fitness, medlock, 20063100, peter, grandfather"	1	clueweb09-en0067-35-03645	"pen, michael, open, 32, creedmoor"	"hike, mi, miles, road, trail"	2	clueweb09-en0071-19-20673	"blue, park, doughton, ridge, national"	"prices, contact, yearround, httpwww, listed"	1	clueweb09-en0074-10-17500	"group, hike, sat, trail, sun"	"27601, circle, botannical, 5mile, kidfriendly"	1	clueweb09-en0077-10-03108	"described, chair, lemony, favoring, presb"	"will, campground, doughton, park, collectibles"	2
467	20916	"the Doughton Park."	"pages with the location of the park, history, pictures, etc."	"pages that simply mention the park but do not provide details."	clueweb09-en0083-89-17761	"bandit, sell, spaniel, boydvacations, magneato"	"boy, lost, park, scout, 21"	2	clueweb09-en0088-18-11005	"twin, open, considered, new2007, 36"	"parking, trail, hike, road, mi"	2	clueweb09-en0088-94-23113	"outings, trail, hike, miles, sierra"	"protect, country, map, general, researched"	1	clueweb09-en0089-43-10952	"bluffs, doughton, trail, park, guides"	"associates, isbn, frozen, pizza, november"	1	clueweb09-en0093-59-03377	"mile, blue, bluff, park, parkway"	"cabin, south, links, return, rocks"	1
468	20916	"the Doughton Park."	"pages with the location of the park, history, pictures, etc."	"pages that simply mention the park but do not provide details."	clueweb09-en0095-82-09211	"hike, outings, nc, trail, 2009"	"0411, apr, mile, bartram, clu"	1	clueweb09-en0098-65-31236	"parkway, mountain, park, ridge, trail"	"trip, focuses, southwestern, photographs, video"	1	clueweb09-en0108-40-18884	"sport, wall, rope, reserved, shade"	"ice, climbing, add, park, routes"	2	clueweb09-en0110-06-31491	"ga, doughton, lecture, park, nc"	"darlene, marrow, whipcom, indian, mall"	1	clueweb09-en0121-60-39949	"mile, circ, marion, apr, 0411"	"park, trail, 2009, hike, grassy"	2
469	20916	"the Doughton Park."	"pages with the location of the park, history, pictures, etc."	"pages that simply mention the park but do not provide details."	clueweb09-en0128-29-11295	"belong, pickleball, italiano, discuss, hiring"	"group, meetup, member, jan, ride"	2	clueweb09-en0128-80-25123	"overlook, parking, trail, mile, ele"	"1443, 1359, 1390, devils, annie"	1	clueweb09-en0130-50-35083	"map, booher, copyright, credits, quick"	"explore, park, org, doughton, byways"	2	clueweb09-en0131-40-12772	"built, permission, robert, click, mp"	"doughton, brinegar, park, photos, cabin"	2	clueweb09-en0133-57-04376	"tim, canada, rights, 2008, privacy"	"climbing, tagged, rock, articles, boeman"	2
470	20916	"the Doughton Park."	"pages with the location of the park, history, pictures, etc."	"pages that simply mention the park but do not provide details."	clueweb09-en0133-57-04393	"haylite, ice, climbing, classifieds, tagged"	"swinging, reserved, hyalite, namemedia, dry"	1	clueweb09-en0133-61-21583	"sand, outer, greenway, higher, yv"	"map, ontario, size, doughton, toronto"	2	clueweb09-enwp00-01-15117	"highway, county, north, alleghany, carolina"	"svenska, nonprofit, english, 501, charity"	1	clueweb09-enwp00-07-15029	"nonprofit, 1137, privacy, 501, gnu"	"county, alleghany, north, carolina, highway"	2	clueweb09-enwp00-15-15241	"county, north, alleghany, carolina, edit"	"copyrights, disclaimers, license, 2009, trademark"	1
507	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-en0000-09-10075	"960, forgets, mary, person, produktkategorie"	"book, grammar, punctuation, eur, style"	2	clueweb09-en0000-11-16062	"staff, shippinghandling, general, news, shortly"	"guide, punctuation, associated, press, ap"	2	clueweb09-en0000-30-16894	"guide, travel, beginner, form, learn"	"guam, salvador, owners, jersey, guyana"	1	clueweb09-en0000-71-15796	"detective, professional, column, layout, centre"	"style, font, writing, guide, word"	2	clueweb09-en0000-93-12103	"tools, reading, book, wiley, grammar"	"sons, rss, friend, policy, booksellers"	1
508	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-en0001-13-14729	"writing, guide, punctuation, question, mark"	"paragraph, narrowing, reserved, numbers, turabian"	1	clueweb09-en0001-37-34568	"reaching, well, capital, formal, common"	"main, subtitle, colon, title, punctuation"	2	clueweb09-en0001-46-21473	"list, exercise, will, nt, textarea"	"sentence, marks, punctuation, version, form"	2	clueweb09-en0001-94-08327	"cocktails, titles, shui, hobbies, drinking"	"nouns, pronouns, punctuation, guide, english"	2	clueweb09-en0002-04-36481	"disclaimers, taxdeductible, policy, 1139, svenska"	"change, comma, word, mark, example"	2
509	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-en0002-33-07434	"martin, teachers, sweet, blast, hs"	"free, ppts, apostrophes, capitalization, punctuation"	2	clueweb09-en0002-48-09486	"rules, punctuation, list, file, dataset"	"addmodify, zeroes, appear, number, directory"	1	clueweb09-en0003-18-27407	"embed, copyright, 20, rest, 200108"	"style, book, rules, grammar, articles"	2	clueweb09-en0003-48-04346	"dictionary, punctuation, equilibrium, medical, mark"	"website, privacy, place, including, intended"	1	clueweb09-en0003-52-23795	"speakpunctuation, web, style, html, design"	"2009, rights, privacy, events, ethics"	1
510	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-en0003-62-15620	"grammar, question, language, writing, english"	"june, 2008, plain, created, gary"	1	clueweb09-en0003-75-25764	"guide, sentence, commas, apostrophe, dash"	"lansing, copyright, south, laundry, email"	1	clueweb09-en0003-99-16806	"stonestone, punctuation, redundant, poetry, clancy"	"simpler, meanders, feathering, nearest, poem"	1	clueweb09-en0005-17-28924	"choosing, punctuation, conventions, writers, group"	"anguage, final, arrives, donors, marks"	1	clueweb09-en0005-46-41481	"fen, book, host, colophon, facts"	"inmotion, writer, summit, kolophon, style"	1
511	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-en0005-83-35248	"office, site, 861088379907, legal, fax"	"marks, china, national, punctuation, standard"	2	clueweb09-en0005-95-14559	"precise, writing, colons, easytouse, slashes"	"guide, writing, ap, punctuation, cappon"	2	clueweb09-en0006-48-08783	"abbreviations, outline, items, il, 217"	"rule, quotation, period, comma, sentence"	2	clueweb09-en0006-50-16952	"gugdes, guidls, guiues, guiles, guidgs"	"guides, writing, written, word, style"	2	clueweb09-en0006-58-38869	"languages, dicto, senses, translations, repeated"	"definitions, noun, sentences, meaning, punctuation"	2
512	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-en0006-63-17662	"grammar, sentences, punctuation, english, period"	"2001, checks, software, terms, ll"	1	clueweb09-en0006-87-14484	"grade, punctuation, review, return, mixed"	"helper, review, language, suggestion, prep"	1	clueweb09-en0007-05-14069	"ivity, listening, spark, series, project"	"writing, english, grammar, word, style"	2	clueweb09-en0007-42-04842	"elementary, basic, skills, grades, rules"	"focus, sample, capitalization, punctuation, basic"	2	clueweb09-en0007-66-11390	"mark, slash, brackets, punctuation, english"	"styles, favourite, curly, square, weeks"	1
513	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-en0007-82-41807	"remove, policy, united, materials, return"	"rules, punctuation, grammar, capitalization, book"	2	clueweb09-en0008-15-07189	"exchange, islands, link, guernsey, guide"	"festivals, weather, photo, disclaimer, orientation"	1	clueweb09-en0008-17-02855	"american, document, punctuation, described, mark"	"trask, richard, remaining, valuable, coates"	1	clueweb09-en0008-71-32152	"word, clauses, form, verb, sentence"	"point, exci, stovall, baseball, tuscaloosa"	1	clueweb09-en0008-82-03266	"nikki, 20080505, unlimited, british, 2008"	"english, site, writing, style, grammar"	2
514	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-en0008-86-07434	"marks, punctuation, top, language, sentence"	"terrible, complete, kidport, greater, 19982008"	1	clueweb09-en0008-91-21552	"schoenbach, rights, classrooms, greenleaf, lori"	"education, punctuation, blue, reading, book"	2	clueweb09-en0009-14-06679	"punctuation, books, english, amazon, british"	"choose, 2008, graded, revised, vocabulary"	1	clueweb09-en0009-30-18393	"comma, sentence, marks, clauses, rule"	"eliot, 217, dog, illinoisalumni, walk"	1	clueweb09-en0009-56-30863	"punctuation, mark, abbreviation, period, ends"	"260, 040, 045, 8xx, 037"	1
515	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-en0009-62-37773	"games, teacher, site, contentareareading, 2009"	"discount, codes, coupon, testfunda, punctuation"	2	clueweb09-en0009-77-27540	"will, note, alphabet, number, bandwidth"	"central, bears, clipart, teddy, image"	2	clueweb09-en0010-38-21772	"friend, communicator, hyphen, 5881212, quotation"	"punctuation, celebrate, rubin, day, national"	2	clueweb09-en0010-40-08623	"pisa, link, city, travel, guide"	"leaning, festivals, sitemap, business, dining"	1	clueweb09-en0010-52-28612	"check, making, template, family, 4th"	"clip, martin, interested, art, day"	2
516	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-en0010-70-35607	"introducing, laminated, ric, 7015, punctuation"	"a2sized, 9321862008180, posters, full, text"	1	clueweb09-en0011-07-25524	"mark, abbreviation, field, punctuation, period"	"fax, principal, aschiffu, box, open"	1	clueweb09-en0011-29-10608	"playtime, 2008, point, exclamation, punctuation"	"national, send, mailing, pdf, email"	1	clueweb09-en0011-46-19854	"remote, build, layout, policy, contained"	"english, site, style, writing, grammar"	2	clueweb09-en0016-88-29461	"capitalization, rules, punctuation, grammar, english"	"content, transmitted, displayed, policy, distributed"	1
517	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-en0017-20-22836	"colon, friend, contact, comma, written"	"celebrate, products, rubin, day, punctuation"	2	clueweb09-en0019-46-11586	"656657, 856, 658, include, 752"	"subfield, punctuation, add, abbreviation, footnote"	2	clueweb09-en0020-74-02004	"penguin, guide, punctuation, 2044, 01012008"	"httpwww, copyright, version, 180, jelsoft"	1	clueweb09-en0021-10-13316	"helps, turn, simply, required, build"	"skip, guides, chambers, punctuation, harrap"	2	clueweb09-en0021-27-28274	"brackets, apostrophe, internet, comma, 2005"	"grammar, sentence, search, form, english"	2
518	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-en0021-41-35682	"english, grammar, punctuation, question, write"	"parentheses, copyright, step52, differenc, ill"	1	clueweb09-en0024-25-09471	"vatican, xxiv, open, internazionale, concilii"	"mark, x11, conventions, fields, punctuation"	2	clueweb09-en0026-67-10470	"2008, countdown, monaco, soaping, cmd"	"marks, english, rules, punctuation, grammar"	2	clueweb09-en0027-08-36518	"writing, writers, reader, marks, punctuation"	"semicolon, help, period, provided, governing"	1	clueweb09-en0027-93-41461	"writers, business, writing, reference, style"	"train, loggingon, etter, weeksa, emai"	1
519	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-en0031-01-31099	"toll, 5881212, 877, point, quotation"	"commas, celebrates, mark, punctuation, national"	2	clueweb09-en0031-53-01560	"marks, commas, punctuation, semicolons, periods"	"events, advertising, privacy, latest, motivating"	1	clueweb09-en0034-34-27454	"messages, knowledge, drove, factors, 11132008"	"commas, papers, punctuation, published, marks"	2	clueweb09-en0036-63-00270	"english, sentence, full, search, grammar"	"click, 2005, hughes, spelling, web"	1	clueweb09-en0037-57-17644	"mormon, ends, contracts, interpretation, goods"	"convention, punctuation, heading, 630, mark"	2
520	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-en0039-94-33042	"subject, verbs, will, sentence, writing"	"aid, reserved, 2008, manage, privacy"	1	clueweb09-en0045-08-25849	"grammar, english, language, description, writing"	"add, catch, worldwide, navigation, events"	1	clueweb09-en0049-51-07458	"bit, write, punctuation, colons, guide"	"turn, good, examples, gratifying, care"	1	clueweb09-en0050-80-21008	"hughes, design, hyphen, checks, conditions"	"english, sentence, full, grammar, search"	2	clueweb09-en0052-20-14265	"gg, xx, tt, derivations, nn"	"english, languages, marks, punctuation, unicode"	2
521	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-en0055-19-10326	"january, sparinglyotherwise, 21, 59, header"	"writer, comma, sentence, rule, example"	2	clueweb09-en0062-75-06817	"drop, room, choose, ks, redundancies"	"style, top, example, sentence, writing"	2	clueweb09-en0062-87-42117	"middle, occupies, facilitates, aware, love"	"divisions, verse, sentence, paradise, punctuation"	2	clueweb09-en0064-18-41158	"key, anatolij, savoskin, criticism, bibliography"	"punctuation, 100, x00, mark, field"	2	clueweb09-en0064-80-03404	"search, full, sentence, punctuation, english"	"apostrophe, subject, elearning, brackets, advertising"	1
522	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-en0067-87-34550	"marks, punctuation, grammar, sentence, writing"	"building, proper, symbolize, agriculture, slow"	1	clueweb09-en0069-04-03484	"healthy, tice, aggressive, head, sleep"	"writer, loves, sentence, character, hyphen"	2	clueweb09-en0075-84-02602	"352900, 650, 6858782, university, htm"	"closing, abbreviation, punctuation, field, mark"	2	clueweb09-en0078-28-24616	"submit, advertising, step52, brackets, praxmatrix"	"full, punctuation, search, sentence, english"	2	clueweb09-en0085-03-18355	"accuse, amuse, maintained, jen, october"	"celebration, years, apostrophe, punctuation, day"	2
523	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-en0088-35-27609	"copyright, genres, soundtracks, ojojojocom, 2009"	"books, best, punctuation, penguin, guide"	2	clueweb09-en0090-04-09588	"writer, comma, relief, rule, sentence"	"slang, gerunds, street, choppy, main"	1	clueweb09-en0092-55-20922	"separate, punctuation, mark, sentence, comma"	"member, bracket, slash, belong, dash"	1	clueweb09-en0097-66-05083	"books, punctuation, guide, reviewer, writing"	"publishing, links, search, reach, services"	1	clueweb09-en0104-83-24016	"comma, correct, puncuation, grammar, punctuation"	"punctution, sentences, english, system, common"	1
524	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-en0106-24-14426	"marks, punctuation, rules, guide, easy"	"subject, lections, terminology, inf, functions"	1	clueweb09-en0110-75-29410	"site, ƒreading, removed, contact, learning"	"writing, marks, canadian, english, punctuation"	2	clueweb09-en0116-24-11604	"marks, meaning, sentences, punctuation, dictionary"	"granted, permission, level, wikipedia, 10"	1	clueweb09-en0116-70-26968	"punctuation, day, playtime, educators, national"	"mugs, countries, improper, moves, founder"	1	clueweb09-en0117-03-29189	"misuses, impossible, quote, side, ellipsis"	"punctuation, copyediting, will, 2008, sentence"	2
525	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-en0118-74-12504	"servers, featured, 20072008, call, duty"	"grammar, search, punctuation, help, rules"	2	clueweb09-en0119-40-07367	"ellipsis, monotone, chorus, marks, hallelujah"	"commas, punctuation, aesthetic, guide, write"	2	clueweb09-en0124-82-40191	"considered, easy, sage, oral, age"	"english, usage, punctuation, guide, grammar"	2	clueweb09-en0128-61-17530	"writereditor, annie, grades, 5881212, taught"	"writing, style, mark, english, punctuation"	2	clueweb09-en0131-21-11471	"comma, english, great, semicolon, grammar"	"terms, apostrophe, click, 2001, capitals"	1
526	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-enwp00-98-21577	"wikimedia, suomi, cite, version, trademark"	"unrecognised, punctuation, expression, erro, spain"	2	clueweb09-enwp01-05-23261	"managers, expression, unrecognised, erro, punctuation"	"permanent, gnu, file, details, policy"	1	clueweb09-enwp01-08-22797	"unrecognised, erro, character, expression, england"	"foundation, license, 501, upload, trademark"	1	clueweb09-enwp01-10-22888	"modified, file, details, privacy, special"	"erro, punctuation, unrecognised, character, expression"	2	clueweb09-enwp01-18-00348	"charity, documentation, taxdeductible, gnu, copyrights"	"expression, erro, african, unrecognised, character"	2
541	20642	"pH levels (acidity)."	"pages that describe levels of pH."	"pages that merely mention pH levels but do not provide any insight."	clueweb09-en0000-10-25072	"blood, levels, low, water, high"	"clucose, dietary, lysine, smooth, underworld"	1	clueweb09-en0000-62-29340	"smaaloufucla, lopez, syleuucla, chunghaoleeucla, chunghao"	"geotechnical, ucla, environmental, phd, resources"	2	clueweb09-en0000-78-09870	"care, news, deficient, called, dissolved"	"will, store, water, fish, ph"	2	clueweb09-en0001-23-04205	"pool, ph, total, levels, ppm"	"business, muchif, drop, advice, live"	1	clueweb09-en0001-82-15743	"fish, kit, ph, test, aquarium"	"46, cups, ko34422, 84, ko34312"	1
543	20642	"pH levels (acidity)."	"pages that describe levels of pH."	"pages that merely mention pH levels but do not provide any insight."	clueweb09-en0001-82-15758	"kit, water, aquarium, fish, test"	"algae, ma21150, pills, supplies, runoff"	1	clueweb09-en0002-62-17725	"lake, water, change, ion, ph"	"olympia, 1989, reservoirs, box, 360"	1	clueweb09-en0002-73-26371	"measuring, phor, range, ph, process"	"temperature, junction, stability, httpglobal, incorporation"	1	clueweb09-en0003-03-34861	"water, will, ph, co2, hardness"	"inexact, cuttlebone, ina, questions, check"	1	clueweb09-en0003-50-09514	"problems, level, english, java, java186"	"q91, enjoy, 2007, copyright, q88"	1
545	20642	"pH levels (acidity)."	"pages that describe levels of pH."	"pages that merely mention pH levels but do not provide any insight."	clueweb09-en0004-21-07975	"levels, psychology, program, requirements, language"	"630401, administration, york, turned, 8178705"	1	clueweb09-en0004-70-23765	"removal, search, fra, systems, fun"	"details, care, package, ph, water"	2	clueweb09-en0004-95-18135	"keller, walter, miotto, basch, report"	"md, phd, cocaine, abuse, alcohol"	2	clueweb09-en0004-95-18136	"msw, elevated, bickel, liver, negrete"	"drug, bs, phd, ba, md"	2	clueweb09-en0005-19-41278	"product, reviews, water, fish, aquarium"	"store, rights, site, contact, well"	1
546	20642	"pH levels (acidity)."	"pages that describe levels of pH."	"pages that merely mention pH levels but do not provide any insight."	clueweb09-en0005-55-29501	"haven, cases, bind, vast, rise"	"will, enzymes, ph, substrates, levels"	2	clueweb09-en0005-65-22700	"ice, skating, aol, ph, mission"	"professional, pat, jeanine, 7380534, 7367227"	1	clueweb09-en0005-76-10816	"ph, patient, correlates, problem, acidosis"	"condition, january, molecular, reserved, department"	1	clueweb09-en0005-80-09539	"garden, control, grow, ph, nbsp"	"1042, kitchen, search, replacement, cloning"	1	clueweb09-en0006-14-25817	"help, modified, 10ppm, greatly, content"	"ph, will, kh, chart, co2"	2
